nr.,LICENSE ROADS --> HIGH priority,CODE,LENGTH,"ROAD LOAD,  in K cars/day",
,,,,,
1,Chisinau - Criva --> through Orhei  & Balti & Edinet & Briceni,M2/R14/ M14,267,3.5 - 18.9,
2,Sarateni - Soroca,M2,83,4.2 - 7.1,
3,Chisinau - Slobozia Mare --> through Leova - Cantemir - Cahul ,R3/R34,204,3.3 - 5.0,
4,Chisinau - Leuseni,M1,90,3.1 - 4.2,
5,Chisinau - Sculeni  --> through Ungheni ,R1,120,2.7 - 6.9,
6,Chisinau - Cimislia - Comrat  Vulcanesti - Giurgiulesti   ,M3,210,1.9 - 3.8,
7,Chisinau - Dubasari,M21,70,-,
8,Anenii Noi - Palanca --> through Causeni & Stefan-Voda,R30/R52,110,1.9 - 4.2,
,,,,,
